id_mt,entidad,gizscore,fallecidos,gipvalue,tramo,nombre,latitud,longitud,pr,municipio,departamento,divipola,fecha,anio,mes,dia,nombre_mes
,INVIAS-OTROS,2.022182,24,0.043158,EL ZULIA-CÚCUTA,,7.930199,-72.590409,58,EL ZULIA,NORTE DE SANTANDER,54261,2023-06-05,2023,6,5,June
1G010,ANI,3.822062,1,0.000132,NAN,Armenia -Pereira - Manizales,4.530654,-75.634098,85,CALARCÁ,QUINDÍO,63130,2023-10-10,2023,10,10,October
,INVIAS-OTROS,4.512465,21,6e-06,CALARCÁ - IBAGUÉ,,4.529347,-75.632733,86,CALARCÁ,QUINDÍO,63130,2024-12-22,2024,12,22,December
1G010,ANI,3.328315,9,0.000874,LA PAILA - CALARCÁ,Armenia -Pereira - Manizales,4.528841,-75.634918,85,CALARCÁ,QUINDÍO,63130,2023-08-16,2023,8,16,August
,INVIAS-OTROS,4.512465,11,6e-06,CALARCÁ - IBAGUÉ,,4.525523,-75.620722,6,CALARCÁ,QUINDÍO,63130,2023-01-27,2023,1,27,January
,INVIAS-OTROS,2.113062,1,0.034595,CALARCÁ - IBAGUÉ,,4.51878,-75.606768,10,CALARCÁ,QUINDÍO,63130,2023-02-23,2023,2,23,February
4G012,ANI,1.811623,9,0.070044,VILLAVICENCIO-PUENTE ARIMENA,IP Malla Vial del Meta,4.061221,-73.147511,55,PUERTO LÓPEZ,META,50573,2022-10-16,2022,10,16,October
4G012,ANI,3.60872,14,0.000308,VILLAVICENCIO-PUENTE ARIMENA,IP Malla Vial del Meta,4.108613,-73.600597,1,VILLAVICENCIO,META,50001,2023-01-14,2023,1,14,January
4G012,ANI,3.60872,9,0.000308,VILLAVICENCIO-PUENTE ARIMENA,IP Malla Vial del Meta,4.119353,-73.613572,sd,VILLAVICENCIO,META,50001,2022-08-19,2022,8,19,August
1G009,ANI,4.198048,20,2.7e-05,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.310587,-75.554145,0,BELLO,ANTIOQUIA,5088,2024-10-14,2024,10,14,October
,DEPTO,4.198048,8,2.7e-05,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.311688,-75.556634,0,BELLO,ANTIOQUIA,5088,2022-02-10,2022,2,10,February
,DEPTO,4.057085,18,5e-05,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.319209,-75.554685,1,BELLO,ANTIOQUIA,5088,2024-11-17,2024,11,17,November
,DEPTO,2.773603,4,0.005544,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.328732,-75.551494,sd,BELLO,ANTIOQUIA,5088,2022-05-15,2022,5,15,May
,DEPTO,2.872332,2,0.004075,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.333141,-75.546963,sd,BELLO,ANTIOQUIA,5088,2022-07-20,2022,7,20,July
,DEPTO,1.774034,7,0.076058,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.335769,-75.544387,sd,BELLO,ANTIOQUIA,5088,2024-02-19,2024,2,19,February
,DEPTO,2.405296,8,0.016159,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.338664,-75.541278,sd,BELLO,ANTIOQUIA,5088,2024-07-18,2024,7,18,July
,DEPTO,2.747471,5,0.006006,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.341784,-75.535189,sd,BELLO,ANTIOQUIA,5088,2024-11-22,2024,11,22,November
,DEPTO,3.258129,10,0.001121,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.34504,-75.527145,sd,BELLO,ANTIOQUIA,5088,2024-12-07,2024,12,7,December
,DEPTO,5.992653,8,0.0,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.347716,-75.520433,sd,BELLO,ANTIOQUIA,5088,2023-05-18,2023,5,18,May
,DEPTO,5.531061,29,0.0,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.351463,-75.510076,sd,COPACABANA,ANTIOQUIA,5212,2023-02-11,2023,2,11,February
,DEPTO,4.505661,4,7e-06,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.356767,-75.500166,sd,COPACABANA,ANTIOQUIA,5212,2024-03-15,2024,3,15,March
,DEPTO,1.942162,1,0.052117,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.390938,-75.445768,sd,GIRARDOTA,ANTIOQUIA,5308,2022-04-09,2022,4,9,April
,DEPTO,2.283962,13,0.022374,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.397619,-75.436746,sd,GIRARDOTA,ANTIOQUIA,5308,2023-11-15,2023,11,15,November
,DEPTO,2.796662,8,0.005163,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.405591,-75.426525,sd,GIRARDOTA,ANTIOQUIA,5308,2023-12-27,2023,12,27,December
,DEPTO,1.771262,4,0.076517,EL HATILLO - GIRARDOTA - COPACABANA - BELLO - MED*,,6.411562,-75.415101,sd,BARBOSA,ANTIOQUIA,5079,2024-08-18,2024,8,18,August
,DEPTO,2.10757,10,0.035068,NAN,,6.433996,-75.337423,9,BARBOSA,ANTIOQUIA,5079,2023-09-05,2023,9,5,September
1G009,ANI,1.848127,6,0.064584,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.248448,-75.424514,27,GUARNE,ANTIOQUIA,5318,2023-10-05,2023,10,5,October
1G009,ANI,1.771262,5,0.076517,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.252809,-75.429236,25,GUARNE,ANTIOQUIA,5318,2024-10-25,2024,10,25,October
1G009,ANI,2.33129,5,0.019738,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.32795,-75.480226,15,COPACABANA,ANTIOQUIA,5212,2023-05-18,2023,5,18,May
1G009,ANI,2.33129,1,0.019738,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.328481,-75.48361,15,COPACABANA,ANTIOQUIA,5212,2024-02-06,2024,2,6,February
1G009,ANI,2.019913,9,0.043392,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.323438,-75.539697,2,BELLO,ANTIOQUIA,5088,2023-02-02,2023,2,2,February
1G009,ANI,4.074447,1,4.6e-05,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.322096,-75.544771,1,BELLO,ANTIOQUIA,5088,2024-05-20,2024,5,20,May
1G009,ANI,3.766984,1,0.000165,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.31862,-75.546815,1,BELLO,ANTIOQUIA,5088,2024-03-05,2024,3,5,March
1G009,ANI,4.057085,4,5e-05,MEDELLÍN - SANTUARIO,Desarrollo Vial del Oriente de Medellín – DEVIMED,6.313718,-75.548768,0,BELLO,ANTIOQUIA,5088,2023-01-28,2023,1,28,January
,DEPTO,2.403517,11,0.016238,BUGA- LA VICTORIA,,4.316067,-76.070563,21,ZARZAL,VALLE DEL CAUCA,76895,2022-07-26,2022,7,26,July
,DEPTO,3.883253,16,0.000103,BUGA- LA VICTORIA,,4.357573,-76.068876,26,ZARZAL,VALLE DEL CAUCA,76895,2024-11-04,2024,11,4,November
,INVIAS-OTROS,2.781367,17,0.005413,VITERBO-ANSERMANUEVO,,4.744053,-75.911907,sd,CARTAGO,VALLE DEL CAUCA,76147,2024-06-10,2024,6,10,June
,INVIAS-OTROS,1.777049,1,0.07556,LA VICTORIA-LA VIRGINIA,,4.735231,-75.903363,76,CARTAGO,VALLE DEL CAUCA,76147,2024-05-13,2024,5,13,May
,INVIAS-OTROS,1.662108,2,0.096491,NAN,,4.73792,-75.898956,2,CARTAGO,VALLE DEL CAUCA,76147,2024-01-13,2024,1,13,January
,DEPTO,4.771095,19,2e-06,BUGA- LA VICTORIA,,4.168398,-76.173499,0,ANDALUCÍA,VALLE DEL CAUCA,76036,2023-07-18,2023,7,18,July
,DEPTO,4.179201,17,2.9e-05,BUGA- LA VICTORIA,,4.037479,-76.210181,87,SAN PEDRO,VALLE DEL CAUCA,76670,2024-10-17,2024,10,17,October
,DEPTO,5.954884,23,0.0,BUGA- LA VICTORIA,,4.000509,-76.229883,82,SAN PEDRO,VALLE DEL CAUCA,76670,2022-04-06,2022,4,6,April
,DEPTO,2.143707,9,0.032056,BUGA- LA VICTORIA,,3.975317,-76.248638,78,SAN PEDRO,VALLE DEL CAUCA,76670,2023-04-30,2023,4,30,April
,DEPTO,3.651162,7,0.000261,BUGA- LA VICTORIA,,3.964974,-76.261151,sd,SAN PEDRO,VALLE DEL CAUCA,76670,2022-08-19,2022,8,19,August
,DEPTO,4.334761,14,1.5e-05,BUGA- LA VICTORIA,,3.952215,-76.27109,75,BUGA,VALLE DEL CAUCA,76111,2024-01-19,2024,1,19,January
,DEPTO,4.163861,13,3.1e-05,BUGA- LA VICTORIA,,3.938814,-76.279742,73,BUGA,VALLE DEL CAUCA,76111,2023-06-25,2023,6,25,June
,DEPTO,2.967562,6,0.003002,BUGA- LA VICTORIA,,3.928157,-76.28615,71,BUGA,VALLE DEL CAUCA,76111,2024-11-25,2024,11,25,November
,DEPTO,2.113062,7,0.034595,BUGA- LA VICTORIA,,3.921209,-76.29417,70,BUGA,VALLE DEL CAUCA,76111,2023-06-09,2023,6,9,June
,DEPTO,2.283962,8,0.022374,BUGA- LA VICTORIA,,3.909898,-76.306519,68,BUGA,VALLE DEL CAUCA,76111,2023-08-01,2023,8,1,August
,DEPTO,1.848127,7,0.064584,BUGA- LA VICTORIA,,3.897147,-76.312121,118,BUGA,VALLE DEL CAUCA,76111,2023-11-13,2023,11,13,November
,INVIAS-OTROS,2.198885,7,0.027886,LOBOGUERRERO - BUGA,,3.891756,-76.317133,117,BUGA,VALLE DEL CAUCA,76111,2023-07-11,2023,7,11,July
,INVIAS-OTROS,4.771095,19,2e-06,CANDELARIA-BUGA,,3.835801,-76.302609,59,BUGA,VALLE DEL CAUCA,76111,2024-10-09,2024,10,9,October
,INVIAS-OTROS,4.655158,18,3e-06,CANDELARIA-BUGA,,3.785473,-76.319112,55,GUACARÍ,VALLE DEL CAUCA,76318,2023-10-08,2023,10,8,October
,INVIAS-OTROS,4.655158,10,3e-06,CANDELARIA-BUGA,,3.770634,-76.326015,53,GUACARÍ,VALLE DEL CAUCA,76318,2024-03-06,2024,3,6,March
,INVIAS-OTROS,2.10757,10,0.035068,CANDELARIA-BUGA,,3.745999,-76.324502,49,GUACARÍ,VALLE DEL CAUCA,76318,2024-11-17,2024,11,17,November
,INVIAS-OTROS,1.942162,8,0.052117,CANDELARIA-BUGA,,3.684455,-76.307218,42,EL CERRITO,VALLE DEL CAUCA,76248,2022-07-09,2022,7,9,July
,INVIAS-OTROS,7.138672,27,0.0,CALI - PALMIRA,,3.517906,-76.366127,13,PALMIRA,VALLE DEL CAUCA,76520,2023-09-25,2023,9,25,September
